text,abbreviations,all_caps,number_words,multi_punct,is_informal
"Northern California sheriff: Wildfire claims more lives, bringing deaths to at least 23",,,,,False
"And so the Flo15 was born. Livin the snack food life now. #Flo15 #hurricaneflorence #HurricaneDiet #nc #ilm #snacks #sweetNsalty #ilmStrong @ Wilmington, North Carolina",,,Flo15|Flo15,,True
@SenSanders We need soldiers in Puerto Rico to secure the streets amd drive trucks to get goods out! Please HELP #HurricaneMaria,,HELP,,,False
Lawmakers are already calling for TPS for victims of #hurricaneirma in the Caribbean via @alextdaugherty,,TPS,,,False
"Just sitting here, waiting for the next update from @NHC_Atlantic  Went and stocked up on supplies today, just in case. But I’m really hoping Dorian will just skirt the coast and never make landfall. ὢDᾒ6ἿB‍♀️ #HurricaneDorian2019",,,HurricaneDorian2019,,True
"Y’all, please pray for us out here on the east coast. #HurricaneFlorence just shifted and is expected to make a direct hit to South Carolina (where I’m at). To my fellow east coasters who are in the line of this thing, please take shelter or evacuate if you have to! God bless!",,,,,False
"Incredible work being done by our local @mnredcross volunteers at the Camp Fire in Northern California. Volunteers Deb (Ely) &amp; Gary (Tower) making a big difference, in tough conditions, on behalf of people that are facing so much. #CampFire #CaliforniaWildfires #RedCross",,,,,False
RT @ditmirbushati: Huge earthquake hits #Mexico. My thoughts are with the victims and all those affected by the devastating earthquake!,,,,,False
SEVERE STORM THREAT rest of the night. See all the action on Radar:  #wx #harvey #flooding,,SEVERE|STORM|THREAT,,,False
All the #VanillaIceProject homes are fine and standing. I build them stronger for this very reason. #HurricaneIrma,,,,,False
RT @NZDefenceForce: NEWS || @NZAirForce NH90s bring aid supplies to Kaikoura:  // #eqnz #earthquake #Kaikoura :,,NEWS,NH90,,True
RT @orderofmalta: Thank you to everyone helping with the #ItalyEarthquake #terremoto Please #share the donation info &amp; spread the word http,,,,,False
We currently need any and all available large vehicles by the New Bern NC PD. Water has receeded enough for vehicle rescues. Lots of help needed!!! #rescue #newbern #nc #northcarolina #HurricaneFlorence,,,,!!!,True
"For those looking to support the communities impacted by #Harvey, consider the Red Cross. We did.",,,,,False
#BREAKING: Daylight is revealing streets &amp; cars underwater from record-breaking flooding and wide-spread damage #Irma #Jacksonville #Florida,,BREAKING,,,False
The fog is actually from the fires. Heartbreaking.,,,,,False
Standing tall &amp; Flying free. Bring it on #hurricaneharvey 🇱🇷 Through the wind the rain the flooding and the pain. Torn but still standing💪🏾,,,,,False
"@CStrangeNW @emc2_n @SenSchumer Wow, you totally stumped everyone with this one. By this logic, places like Texas, Louisiana, Florida and Nebraska dont need disaster aid, because they already receive money from the Feds. But sure, keep ignoring that natural disasters cost more than what most states get",,,emc2,,True
"With a death toll that’s rising, leaving scores of people injured, a severe #earthquake of magnitude 5.8 has hit #Pakistan with epicenter lying 1km south-east of #Mirpur #AzadKashmir. We pray for the precious lives lost and ask the Almighty to show His mercy on us all. Ameen.",,,1km,,True
Yep! Mathew and Irma caused $30 million in damage to JEA. FEMA paid 90% of that. If JEA is sold that expense will be passed on in higher rates!! #jeaisours #ilovejax #jaxpol,,JEA|FEMA|JEA,,!!,True
Heavy Rain Lashes Chamarajanagar; 4 Buffaloes Washed Away in Flash Floods:  via @YouTube,4 → for,,,,True
"The NWS job doesnt end with observations, forecast, warnings and IDSS. Important to insure actuals of surge, flooding, precipitation, wind and other observation parameters are accurately documented.",,NWS|IDSS,,,False
Homeless Man Among Hurricane Evacuees at Convention Center Grooms Displaced Pets: I Wasnt Raised Not   via @people,,,,,True
Packers Aaron Rodgers donates M to California #WILDFIRE victims  #GPWX,,WILDFIRE|GPWX,,,False
"Lexus Bus Of Kannur Vijay Fans, Today Runs For Chief Ministers Flood Relief Fund. #KeralaFloods #KeralaFloodRelief #DoForKerala",,,,,False
"Drone video shows miles of fallen power lines and poles in Avon Park, Florida, on Wednesday after Hurricane #Irma damaged the area.",,,,,False
"RT @AP: AP PHOTOS: Rescue team members wait to assist in the aftermath of Hurricane Maria in Humacao, Puerto Rico.",,PHOTOS,,,False
"Miley Cyrus and Liam Hemsworths home was destroyed in the California wildfires, and this is what remained.",,,,,False
Early images from my family of the destruction left in Dorian’s path. Many have already suffered losses. #prayfortheBahamas#hurricanedorian @CNNweather @cnnbrk @breakingweather @weatherchannel,,,,,False
RT @tspoon87: Foor For The Poor supports Haitis hurricane relief.  support Haiti by giving what you can at /,,,tspoon87,,True
"#KeralaFloodRelief Heartbroken by the catastrophic flooding in Kerala, US tech giant Apple on Saturday announced to donate Rs 7 crore towards the ongoing relief work. -",,,,,False
Gulf Gate Elementary School is opening as a shelter at 6 p.m. #Irma,,,,,False
Insane footage from the Bahamas! Thoughts and prayers are with them.,,,,,False
RT @dsimonjackson: Want to help support victims of the Fort McMurray wildfire? There are alternatives to the Red Cross.,,,,,False
RT @CNNnews18: The strongest hurricane to hit Puerto Rico in more than 80 years destroyed hundreds of homes,,,CNNnews18,,True
Puerto Rican cop telling the truth about Hurricane Marias aid  #MSM #MAGA #DEMEXIT,,MSM|MAGA|DEMEXIT,,,False
#KeralaFloods | Putting the Centre’s Rs 600-crore aid in context. (Via @IndiaSpend) Read more:,,,,,False
RT @sonictoyhunter: You got water for #HurricaneDorian?” Me: I got the only water I need”,,,,,False
"Hey pls donate whatever you have to this wonderful country that we have completely fucked over, pls!!!!!",pls → please,,,!!!!!,True
