word_count,sentence_count,locations,location_count,actions,action_count,urgency_level,is_informal,pos_tags,text,disaster_type,source
53,4,,0,help,1,medium,True,ADP DET VERB NOUN PUNCT VERB PRON VERB VERB DET NOUN CCONJ PART VERB ADP ADP PRON PUNCT DET NOUN ADP VERB NOUN AUX ADJ ADP ADJ NOUN CCONJ ADP DET NOUN VERB ADP DET ADJ NOUN NOUN PUNCT VERB PRON VERB ADJ NOUN CCONJ VERB DET ADJ ADJ PUNCT SYM PROPN NUM,"In these trying times, let us help reduce the problems and not add on to them. The risk of waterborne diseases is great in such times and with the capital going through a hectic water cut. Let us practice good hygiene and keep each other safe! #CycloneIdai ὤF",caution_and_advice,HumAID
47,3,,0,,0,low,True,SCONJ ADJ NOUN VERB ADJ CCONJ ADJ NOUN ADP DET NOUN NOUN PUNCT PRON AUX VERB ADP DET NOUN PUNCT SCONJ SYM PROPN ADV VERB NUM NOUN ADP ADJ NOUN PUNCT PROPN VERB PART VERB DET NOUN PUNCT X NOUN SYM NOUN PROPN PROPN CCONJ PROPN PUNCT,"Whenever natural calamities causes economic and social damage to a state means, Who will finance for the restoration? Since #UnionGovt just provides 5% of financial damage, State has to bear the remaining. #KeralaFloods2018 #KeralaReliefFund #KeralaFloods &lt;&lt;1&gt;&gt;",rescue_volunteering_or_donation_effort,HumAID
22,1,,0,help,1,medium,True,PROPN NOUN PUNCT SCONJ PRON VERB PART VERB NOUN ADP NOUN NOUN PUNCT NOUN VERB DET NOUN NOUN VERB ADP ADV PUNCT,"RT @PaulHenryShow: If you want to help victims of yesterdays quakes, @NZRedCross has a donation page set up here:",rescue_volunteering_or_donation_effort,HumAID
9,1,,0,,0,low,False,PRON ADV VERB ADJ NOUN SYM NOUN NOUN PUNCT,I just donated portable food/water bowls!,rescue_volunteering_or_donation_effort,HumAID
26,3,,0,rescue|send,2,low,True,VERB ADJ NOUN NOUN PUNCT VERB ADJ NOUN NOUN PUNCT NOUN CCONJ ADJ NOUN PUNCT SYM PROPN SYM PROPN SYM PROPN NUM X PROPN NOUN VERB,"Operationalize more rescue efforts. Send more rescue teams, helicopters and medical teams. #KeralaFloods #RebuildKerala #RescueKerala @pmo @FinMinIndia @DefenceMinIndia @HMOIndia @NDRFHQ",rescue_volunteering_or_donation_effort,HumAID
25,2,Florence @TheMCSPCA #,1,,0,medium,True,SYM PROPN NOUN VERB NOUN ADP DET NOUN ADP PROPN PROPN SYM NOUN ADP PROPN SYM PROPN SYM PROPN SYM NOUN SYM PROPN SYM NOUN,#NewJersey organizations helping pets in the wake of Florence @TheMCSPCA #njmorningshow #HurricaneFlorence #HelpingPets #Dogs #Cats #Adoption #Donations,rescue_volunteering_or_donation_effort,HumAID
24,1,Puerto Rico,1,,0,low,True,PRON VERB ADP DET NOUN PROPN PROPN ADP NUM NOUN DET NOUN NOUN VERB ADP NOUN ADP DET ADJ NOUN ADP PROPN PROPN PUNCT,I heard on the news Hurricane Maria with 150 mile an hour winds knocked out power to the entire island of Puerto Rico.,infrastructure_and_utility_damage,HumAID
9,1,Florida,1,,0,low,False,PROPN PROPN PUNCT NOUN VERB ADP ADP PROPN NOUN,Hurricane Irma: Time runs out for Florida evacuation,displaced_people_and_evacuations,HumAID
25,2,California,1,need,1,medium,False,PRON VERB PART AUX VERB ADP ADJ NOUN PUNCT DET NOUN ADP PROPN VERB PART VERB SCONJ ADJ PROPN AUX VERB ADP PRON NOUN PUNCT,This needs to be seen by more people. The people of California need to know that fellow Americans are coming to their aid!,rescue_volunteering_or_donation_effort,HumAID
44,2,California|Paradise,2,,0,low,True,PROPN PROPN PROPN AUX VERB PART VERB ADJ NOUN ADP PROPN PUNCT VERB PRON NOUN NOUN AUX ADV ADJ PUNCT ADV ADV NUM NOUN AUX VERB ADP DET ADJ NOUN CCONJ DET NOUN ADP PROPN PUNCT NOUN NUM PUNCT AUX AUX ADV VERB PUNCT,"President Donald Trump is threatening to withhold federal payments to California, claiming its forest management is so poor. So far 9 people have died in these latest wildfires and the town of Paradise -- population 27,000 -- has been totally destroyed.",injured_or_dead_people,HumAID
12,1,Key West,1,,0,low,False,PROPN PROPN NOUN ADP NOUN ADP PROPN PROPN ADP DET NOUN PROPN,Key West mayor on damage after Hurricane Irma via the @FoxNews App,infrastructure_and_utility_damage,HumAID
21,2,Fort McMurray,1,,0,low,True,PROPN NOUN PUNCT NOUN ADP PROPN PROPN NOUN NOUN AUX AUX VERB ADP NUM PROPN PROPN PROPN PROPN PUNCT SPACE SYM PROPN,RT @TheGrayGroup: Donations for Fort McMurray relief packages can be made at 127 St Peters Rd Charlottetown.  #pei,rescue_volunteering_or_donation_effort,HumAID
28,5,Kerala,1,send,1,low,True,PROPN VERB NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT ADJ NOUN PUNCT NOUN PUNCT AUX PART VERB ADJ NOUN ADP NOUN CCONJ ADJ NOUN PUNCT SYM NOUN,"Kerala needs electricians, plumbers, carpenters, painters. Medical attendants. Doctors. Do NOT send useless things like matchboxes and old clothes. #KeralaFloods",requests_or_urgent_needs,HumAID
11,1,,0,,0,low,False,PROPN PROPN PUNCT ADJ PROPN PROPN PROPN PROPN ADV SYM NOUN,RT @SiluvaM: Sunny Leone Donates Rs.5 Crore ὄC #KeralaFloods,rescue_volunteering_or_donation_effort,HumAID
41,4,Candles|Noodles|Dal|Sugar,4,please help|need|help,3,medium,True,INTJ VERB NOUN ADP DET ADJ NOUN PUNCT SYM NOUN PRON AUX ADP NOUN ADP PROPN PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN CCONJ ADJ PUNCT ADJ NOUN AUX VERB ADJ NOUN PUNCT,"Please help kerala by all possible means. #KeralaFloods They are in need of Milk Powder,Biscuits,Noodles,Candles,Cerelac,Dal,Salt,Sugar and more. Small help will bring big relief.",requests_or_urgent_needs,HumAID
17,1,,0,,0,low,False,PROPN PROPN PUNCT SYM NOUN PUNCT NOUN PROPN PROPN ADP PROPN ADP PROPN PROPN SCONJ ADJ NOUN,RT @abpnewstv: #ItalyEarthquake: Pictures Reveal Scale Of Devastation From Deadly Quake That Leveled Towns,infrastructure_and_utility_damage,HumAID
55,5,,0,,0,low,True,PRON ADV ADJ PART VERB DET NOUN VERB ADP DET NOUN PUNCT AUX DET ADJ VERB NOUN CCONJ PROPN PUNCT ADJ VERB NOUN PUNCT NOUN ADP PRON AUX NOUN CCONJ PROPN PUNCT NOUN ADP PROPN ADP PRON PART VERB PRON NOUN CCONJ PROPN PUNCT NOUN PUNCT AUX PRON VERB NOUN PUNCT SYM PROPN SYM NOUN,Its very sad to note the casualties resulted in the Earthquake.May the bereaved find patience &amp; deceased find peace.Incidents like these are signs &amp; warnings from Allah for us to mend our attitudes &amp; lives.May we take heed. #EarthquakeinPakistan #earthquake,sympathy_and_support,HumAID
18,3,Abaco Island,1,,0,low,True,NOUN CCONJ NOUN ADP PRON ADP PROPN PROPN PUNCT SYM PROPN AUX DET ADJ NOUN PUNCT SYM PROPN,Thoughts and prayers to everyone on Abaco Island. #Dorian is an angry monster! #StaySafe,sympathy_and_support,HumAID
19,1,in Ft|Florida|at CBS News affiliate winknews surveys tree damage caused by Hurricane Irma in Ft,3,,0,low,True,NOUN ADP PROPN PROPN NOUN NOUN NOUN NOUN NOUN VERB ADP PROPN PROPN ADP PROPN PROPN PROPN PUNCT PROPN,"Reporter at CBS News affiliate winknews surveys tree damage caused by Hurricane Irma in Ft. Meyers, Florida",infrastructure_and_utility_damage,HumAID
