text,disaster_type,location_patterns,action_patterns,dep_patterns,has_location,has_action
"Northern California sheriff: Wildfire claims more lives, bringing deaths to at least 23",injured_or_dead_people,PREP+PROPN,,NER_LOC:Northern|NER_LOC:California|ROOT_VERB:claims|PREP(to)+POBJ(23),True,False
"And so the Flo15 was born. Livin the snack food life now. #Flo15 #hurricaneflorence #HurricaneDiet #nc #ilm #snacks #sweetNsalty #ilmStrong @ Wilmington, North Carolina",not_humanitarian,,URGENCY_ADVERB,ROOT_VERB:born|PREP(nc)+POBJ(#)|PREP(@)+POBJ(Wilmington)|NER_LOC:Wilmington|NER_LOC:North,False,True
@SenSanders We need soldiers in Puerto Rico to secure the streets amd drive trucks to get goods out! Please HELP #HurricaneMaria,requests_or_urgent_needs,PREP+PROPN,PLEA_PATTERN|ACTION_VERB,ROOT_VERB:need|PREP(in)+POBJ(Rico)|NER_LOC:Puerto|NER_LOC:Rico|ROOT_VERB:HELP,True,True
Lawmakers are already calling for TPS for victims of #hurricaneirma in the Caribbean via @alextdaugherty,rescue_volunteering_or_donation_effort,PREP+PROPN,,ROOT_VERB:calling|PREP(for)+POBJ(TPS)|PREP(for)+POBJ(victims)|PREP(of)+POBJ(hurricaneirma)|PREP(in)+POBJ(Caribbean),True,False
"Just sitting here, waiting for the next update from @NHC_Atlantic  Went and stocked up on supplies today, just in case. But I’m really hoping Dorian will just skirt the coast and never make landfall. ὢDᾒ6ἿB‍♀️ #HurricaneDorian2019",other_relevant_information,PREP+PROPN|PROPN+LOC_NOUN|LOC_NOUN,,ROOT_VERB:sitting|PREP(for)+POBJ(update)|PREP(from)+POBJ(Went)|PREP(on)+POBJ(supplies)|PREP(in)+POBJ(case),True,False
"Y’all, please pray for us out here on the east coast. #HurricaneFlorence just shifted and is expected to make a direct hit to South Carolina (where I’m at). To my fellow east coasters who are in the line of this thing, please take shelter or evacuate if you have to! God bless!",sympathy_and_support,PREP+PROPN|PROPN+LOC_NOUN|LOC_NOUN,ACTION_VERB,ROOT_VERB:pray|NER_LOC:the|NER_LOC:east|NER_LOC:coast|ROOT_VERB:shifted,True,True
"Incredible work being done by our local @mnredcross volunteers at the Camp Fire in Northern California. Volunteers Deb (Ely) &amp; Gary (Tower) making a big difference, in tough conditions, on behalf of people that are facing so much. #CampFire #CaliforniaWildfires #RedCross",rescue_volunteering_or_donation_effort,PREP+PROPN,,PREP(at)+POBJ(Fire)|NER_LOC:the|NER_LOC:Camp|NER_LOC:Fire|NER_LOC:Northern,True,False
RT @ditmirbushati: Huge earthquake hits #Mexico. My thoughts are with the victims and all those affected by the devastating earthquake!,sympathy_and_support,,,ROOT_VERB:hits|NER_LOC:Mexico,False,False
SEVERE STORM THREAT rest of the night. See all the action on Radar:  #wx #harvey #flooding,other_relevant_information,,,PREP(of)+POBJ(night)|ROOT_VERB:See|PREP(on)+POBJ(Radar),False,False
All the #VanillaIceProject homes are fine and standing. I build them stronger for this very reason. #HurricaneIrma,other_relevant_information,,,ROOT_VERB:build,False,False
RT @NZDefenceForce: NEWS || @NZAirForce NH90s bring aid supplies to Kaikoura:  // #eqnz #earthquake #Kaikoura :,rescue_volunteering_or_donation_effort,,,ROOT_VERB:bring|PREP(to)+POBJ(Kaikoura),False,False
RT @orderofmalta: Thank you to everyone helping with the #ItalyEarthquake #terremoto Please #share the donation info &amp; spread the word http,sympathy_and_support,,,ROOT_VERB:Thank|PREP(to)+POBJ(everyone)|PREP(with)+POBJ(#),False,False
We currently need any and all available large vehicles by the New Bern NC PD. Water has receeded enough for vehicle rescues. Lots of help needed!!! #rescue #newbern #nc #northcarolina #HurricaneFlorence,requests_or_urgent_needs,,ACTION_VERB,ROOT_VERB:need|PREP(by)+POBJ(PD)|ROOT_VERB:receeded|PREP(for)+POBJ(rescues)|PREP(of)+POBJ(help),False,True
"For those looking to support the communities impacted by #Harvey, consider the Red Cross. We did.",rescue_volunteering_or_donation_effort,,,PREP(For)+POBJ(those)|ROOT_VERB:consider|ROOT_VERB:did,False,False
#BREAKING: Daylight is revealing streets &amp; cars underwater from record-breaking flooding and wide-spread damage #Irma #Jacksonville #Florida,infrastructure_and_utility_damage,PREP+PROPN,,ROOT_VERB:revealing|NER_LOC:Florida,True,False
The fog is actually from the fires. Heartbreaking.,other_relevant_information,PREP+PROPN,,ROOT_VERB:Heartbreaking,True,False
Standing tall &amp; Flying free. Bring it on #hurricaneharvey 🇱🇷 Through the wind the rain the flooding and the pain. Torn but still standing💪🏾,other_relevant_information,,,ROOT_VERB:Standing|ROOT_VERB:Bring|PREP(on)+POBJ(hurricaneharvey)|PREP(Through)+POBJ(wind),False,False
"@CStrangeNW @emc2_n @SenSchumer Wow, you totally stumped everyone with this one. By this logic, places like Texas, Louisiana, Florida and Nebraska dont need disaster aid, because they already receive money from the Feds. But sure, keep ignoring that natural disasters cost more than what most states get",not_humanitarian,PREP+PROPN,ACTION_VERB,ROOT_VERB:stumped|PREP(By)+POBJ(logic)|PREP(like)+POBJ(Texas)|NER_LOC:Texas|NER_LOC:Louisiana,True,True
"With a death toll that’s rising, leaving scores of people injured, a severe #earthquake of magnitude 5.8 has hit #Pakistan with epicenter lying 1km south-east of #Mirpur #AzadKashmir. We pray for the precious lives lost and ask the Almighty to show His mercy on us all. Ameen.",injured_or_dead_people,,VICTIM_STATE,PREP(With)+POBJ(toll)|PREP(of)+POBJ(people)|PREP(of)+POBJ(magnitude)|ROOT_VERB:hit|NER_LOC:Pakistan,False,True
Yep! Mathew and Irma caused $30 million in damage to JEA. FEMA paid 90% of that. If JEA is sold that expense will be passed on in higher rates!! #jeaisours #ilovejax #jaxpol,infrastructure_and_utility_damage,PREP+PROPN,,ROOT_VERB:caused|PREP(to)+POBJ(JEA)|ROOT_VERB:paid|PREP(of)+POBJ(that)|ROOT_VERB:passed,True,False
Heavy Rain Lashes Chamarajanagar; 4 Buffaloes Washed Away in Flash Floods:  via @YouTube,other_relevant_information,PREP+PROPN,,ROOT_VERB:Washed|PREP(in)+POBJ(Floods)|PREP(via)+POBJ(@YouTube),True,False
"The NWS job doesnt end with observations, forecast, warnings and IDSS. Important to insure actuals of surge, flooding, precipitation, wind and other observation parameters are accurately documented.",not_humanitarian,,,ROOT_VERB:end|PREP(with)+POBJ(observations)|PREP(of)+POBJ(surge)|ROOT_VERB:documented,False,False
Homeless Man Among Hurricane Evacuees at Convention Center Grooms Displaced Pets: I Wasnt Raised Not   via @people,displaced_people_and_evacuations,PREP+PROPN,,PREP(Among)+POBJ(Evacuees)|PREP(at)+POBJ(Pets)|ROOT_VERB:Raised|PREP(via)+POBJ(@people),True,False
Packers Aaron Rodgers donates M to California #WILDFIRE victims  #GPWX,rescue_volunteering_or_donation_effort,,,ROOT_VERB:donates|PREP(to)+POBJ(victims),False,False
"Lexus Bus Of Kannur Vijay Fans, Today Runs For Chief Ministers Flood Relief Fund. #KeralaFloods #KeralaFloodRelief #DoForKerala",rescue_volunteering_or_donation_effort,,,ROOT_VERB:Runs|PREP(For)+POBJ(Fund),False,False
"Drone video shows miles of fallen power lines and poles in Avon Park, Florida, on Wednesday after Hurricane #Irma damaged the area.",infrastructure_and_utility_damage,PREP+PROPN|PROPN+LOC_NOUN|LOC_NOUN,,ROOT_VERB:shows|PREP(of)+POBJ(lines)|PREP(in)+POBJ(Park)|NER_LOC:Avon|NER_LOC:Park,True,False
"RT @AP: AP PHOTOS: Rescue team members wait to assist in the aftermath of Hurricane Maria in Humacao, Puerto Rico.",rescue_volunteering_or_donation_effort,PREP+PROPN,ACTION_VERB,PREP(in)+POBJ(aftermath)|PREP(of)+POBJ(Maria)|NER_LOC:Humacao|NER_LOC:Puerto|NER_LOC:Rico,True,True
"Miley Cyrus and Liam Hemsworths home was destroyed in the California wildfires, and this is what remained.",infrastructure_and_utility_damage,PREP+PROPN,,ROOT_VERB:destroyed|PREP(in)+POBJ(wildfires)|NER_LOC:California,True,False
Early images from my family of the destruction left in Dorian’s path. Many have already suffered losses. #prayfortheBahamas#hurricanedorian @CNNweather @cnnbrk @breakingweather @weatherchannel,infrastructure_and_utility_damage,PREP+PROPN,,PREP(from)+POBJ(family)|PREP(of)+POBJ(destruction)|PREP(in)+POBJ(path)|ROOT_VERB:suffered,True,False
RT @tspoon87: Foor For The Poor supports Haitis hurricane relief.  support Haiti by giving what you can at /,rescue_volunteering_or_donation_effort,,,PREP(For)+POBJ(Poor)|ROOT_VERB:supports|ROOT_VERB:support|NER_LOC:Haiti,False,False
"#KeralaFloodRelief Heartbroken by the catastrophic flooding in Kerala, US tech giant Apple on Saturday announced to donate Rs 7 crore towards the ongoing relief work. -",rescue_volunteering_or_donation_effort,PREP+PROPN,ACTION_VERB,PREP(by)+POBJ(flooding)|PREP(in)+POBJ(Kerala)|NER_LOC:Kerala|NER_LOC:US|PREP(on)+POBJ(Saturday),True,True
Gulf Gate Elementary School is opening as a shelter at 6 p.m. #Irma,other_relevant_information,,,ROOT_VERB:opening|PREP(as)+POBJ(shelter)|PREP(at)+POBJ(p.m.),False,False
Insane footage from the Bahamas! Thoughts and prayers are with them.,sympathy_and_support,PREP+PROPN,,PREP(from)+POBJ(Bahamas)|NER_LOC:Bahamas,True,False
RT @dsimonjackson: Want to help support victims of the Fort McMurray wildfire? There are alternatives to the Red Cross.,sympathy_and_support,,ACTION_VERB,ROOT_VERB:Want|PREP(of)+POBJ(wildfire)|NER_LOC:Fort|NER_LOC:McMurray|ROOT_VERB:are,False,True
RT @CNNnews18: The strongest hurricane to hit Puerto Rico in more than 80 years destroyed hundreds of homes,infrastructure_and_utility_damage,PREP+PROPN,,NER_LOC:Puerto|NER_LOC:Rico|PREP(in)+POBJ(years)|PREP(of)+POBJ(homes),True,False
Puerto Rican cop telling the truth about Hurricane Marias aid  #MSM #MAGA #DEMEXIT,other_relevant_information,,,PREP(about)+POBJ(DEMEXIT),False,False
#KeralaFloods | Putting the Centre’s Rs 600-crore aid in context. (Via @IndiaSpend) Read more:,rescue_volunteering_or_donation_effort,PREP+PROPN,,NER_LOC:the|NER_LOC:Centre|NER_LOC:’s|NER_LOC:Rs|PREP(in)+POBJ(context),True,False
RT @sonictoyhunter: You got water for #HurricaneDorian?” Me: I got the only water I need”,not_humanitarian,,ACTION_VERB,ROOT_VERB:got|PREP(for)+POBJ(HurricaneDorian)|ROOT_VERB:got,False,True
"Hey pls donate whatever you have to this wonderful country that we have completely fucked over, pls!!!!!",rescue_volunteering_or_donation_effort,,ACTION_VERB,ROOT_VERB:donate|PREP(to)+POBJ(country),False,True
"We are closely watching the track of Hurricane Florence. At this time, our hospital is only accepting emergency patients. ALL OUTPATIENT SERVICES HAVE BEEN CANCELLED. We encourage everyone in our community to make their preparations and plans now.",caution_and_advice,PREP+PROPN,DISTRESS_SIGNAL|URGENCY_ADVERB,ROOT_VERB:watching|PREP(of)+POBJ(Florence)|PREP(At)+POBJ(time)|ROOT_VERB:accepting|ROOT_VERB:encourage,True,True
"The TX Dept of Public Safety says more than 37,000 homes were heavily damaged &amp; nearly 7,000 were destroyed  #Harvey",infrastructure_and_utility_damage,,,ROOT_VERB:says,False,False
California wildfires: At least 42 are killed in deadliest blaze  #SmartNews,injured_or_dead_people,PREP+PROPN,,NER_LOC:California|ROOT_VERB:wildfires|PREP(in)+POBJ(SmartNews),True,False
So idk if any of you know but I live in Ecuador and I was in the zone affected by the earthquake,other_relevant_information,PREP+PROPN|PROPN+LOC_NOUN|LOC_NOUN,,ROOT_VERB:live|PREP(in)+POBJ(Ecuador)|NER_LOC:Ecuador,True,False
"Rescue crews search for residents in an Immokalee, Florida neighborhood that was heavily damaged by Hurricane #Irma.",rescue_volunteering_or_donation_effort,PREP+PROPN,ACTION_VERB,ROOT_VERB:search|PREP(for)+POBJ(residents)|PREP(in)+POBJ(Immokalee)|NER_LOC:Florida,True,True
RT @BlueAlertUs: And the evacuation has started in Florida #HurricaneDorian #BePrepared #HaveAPlan #Florida,displaced_people_and_evacuations,PREP+PROPN,,ROOT_VERB:started|PREP(in)+POBJ(HurricaneDorian)|NER_LOC:Florida|NER_LOC:Florida,True,False
